YRC1000,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Alarm Number,Alarm Name,Contents,Sub Code,Meaning,Cause,Remedy,図表1,図表2,詳細説明(技術者用),Notes
,,,,,Connection failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, check the connection and insertion of the following cables and connectors.
- The MII communications cable which I/O module of the corresponding node number
- (In case of MII communications last station) Terminator
- 24V power of the corresponding I/O module",,,,HWC
,,,,,I/O module failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the following board. Save the CMOS.BIN before replace the board to be safe.",,,,HWC
,,,,,AIF01 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the AIF01 board. Save the CMOS.BIN before replace the board to be safe. Replace the AIF01 board, and then load the CMOS.BIN saved before alarm occurred.",,,,HWC
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,HWC
,,,6,An error was detected in communications with the I/O module board connected with 6th serial bus when the control power turned ON.,Setting error,"Check the following settings.
- The rotary switch setting which specifies slot numbers of each I/O module
- I/O module settings in maintenance mode",,,,HWC
,,,,,Connection failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, check the connection and insertion of the following cables and connectors.
- The MII communications cable which I/O module of the corresponding node number
- (In case of MII communications last station) Terminator
- 24V power of the corresponding I/O module",,,,HWC
,,,,,I/O module failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the following board. Save the CMOS.BIN before replace the board to be safe.",,,,HWC
,,,,,AIF01 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the AIF01 board. Save the CMOS.BIN before replace the board to be safe. Replace the AIF01 board, and then load the CMOS.BIN saved before alarm occurred.",,,,HWC
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,HWC
,,,7,An error was detected in communications with the I/O module board connected with 7th serial bus when the control power turned ON.,Setting error,"Check the following settings.
- The rotary switch setting which specifies slot numbers of each I/O module
- I/O module settings in maintenance mode
Please refer to the manual of each IO module for the details of the setting",,,,HWC
,,,,,Connection failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, check the connection and insertion of the following cables and connectors.
- The MII communications cable which I/O module of the corresponding node number
- (In case of MII communications last station) Terminator
- 24V power of the corresponding I/O module",,,,HWC
,,,,,I/O module failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the following board. Save the CMOS.BIN before replace the board to be safe.",,,,HWC
,,,,,AIF01 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the AIF01 board. Save the CMOS.BIN before replace the board to be safe. Replace the AIF01 board, and then load the CMOS.BIN saved before alarm occurred.",,,,HWC
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,HWC
,,,8,An error was detected in communications with the I/O module board connected with 8th serial bus when the control power turned ON.,Setting error,"Check the following settings.
- The rotary switch setting which specifies slot numbers of each I/O module
- I/O module settings in maintenance mode
Please refer to the manual of each IO module for the details of the setting",,,,HWC
,,,,,Connection failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, check the connection and insertion of the following cables and connectors.
- The MII communications cable which I/O module of the corresponding node number
- (In case of MII communications last station) Terminator
- 24V power of the corresponding I/O module",,,,HWC
,,,,,I/O module failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the following board. Save the CMOS.BIN before replace the board to be safe.",,,,HWC
,,,,,AIF01 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the AIF01 board. Save the CMOS.BIN before replace the board to be safe. Replace the AIF01 board, and then load the CMOS.BIN saved before alarm occurred.",,,,HWC
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,HWC
,,,9,An error was detected in communications with the I/O module board connected with 9th serial bus when the control power turned ON.,Setting error,"Check the following settings.
- The rotary switch setting which specifies slot numbers of each I/O module
- I/O module settings in maintenance mode
Please refer to the manual of each IO module for the details of the setting",,,,HWC
,,,,,Connection failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, check the connection and insertion of the following cables and connectors.
- The MII communications cable which I/O module of the corresponding node number
- (In case of MII communications last station) Terminator
- 24V power of the corresponding I/O module",,,,HWC
,,,,,I/O module failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the following board. Save the CMOS.BIN before replace the board to be safe.",,,,HWC
,,,,,AIF01 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the AIF01 board. Save the CMOS.BIN before replace the board to be safe. Replace the AIF01 board, and then load the CMOS.BIN saved before alarm occurred.",,,,HWC
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,HWC
,,,10,An error was detected in communications with the I/O module board connected with 10th serial bus when the control power turned ON.,Setting error,"Check the following settings.
- The rotary switch setting which specifies slot numbers of each I/O module
- I/O module settings in maintenance mode
Please refer to the manual of each IO module for the details of the setting",,,,HWC
,,,,,Connection failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, check the connection and insertion of the following cables and connectors.
- The MII communications cable which I/O module of the corresponding node number
- (In case of MII communications last station) Terminator
- 24V power of the corresponding I/O module",,,,HWC
,,,,,I/O module failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the following board. Save the CMOS.BIN before replace the board to be safe.",,,,HWC
,,,,,AIF01 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the AIF01 board. Save the CMOS.BIN before replace the board to be safe. Replace the AIF01 board, and then load the CMOS.BIN saved before alarm occurred.",,,,HWC
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,HWC
,,,11,An error was detected in communications with the I/O module board connected with 11th serial bus when the control power turned ON.,Setting error,"Check the following settings.
- The rotary switch setting which specifies slot numbers of each I/O module
- I/O module settings in maintenance mode
Please refer to the manual of each IO module for the details of the setting",,,,HWC
,,,,,Connection failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, check the connection and insertion of the following cables and connectors.
- The MII communications cable which I/O module of the corresponding node number
- (In case of MII communications last station) Terminator
- 24V power of the corresponding I/O module",,,,HWC
,,,,,I/O module failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the following board. Save the CMOS.BIN before replace the board to be safe.",,,,HWC
,,,,,AIF01 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the AIF01 board. Save the CMOS.BIN before replace the board to be safe. Replace the AIF01 board, and then load the CMOS.BIN saved before alarm occurred.",,,,HWC
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,HWC
,,,12,An error was detected in communications with the I/O module board connected with 12th serial bus when the control power turned ON.,Setting error,"Check the following settings.
- The rotary switch setting which specifies slot numbers of each I/O module
- I/O module settings in maintenance mode
Please refer to the manual of each IO module for the details of the setting",,,,HWC
,,,,,Connection failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, check the connection and insertion of the following cables and connectors.
- The MII communications cable which I/O module of the corresponding node number
- (In case of MII communications last station) Terminator
- 24V power of the corresponding I/O module",,,,HWC
,,,,,I/O module failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the following board. Save the CMOS.BIN before replace the board to be safe.",,,,HWC
,,,,,AIF01 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the AIF01 board. Save the CMOS.BIN before replace the board to be safe. Replace the AIF01 board, and then load the CMOS.BIN saved before alarm occurred.",,,,HWC
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,HWC
,,,13,An error was detected in communications with the I/O module board connected with 13th serial bus when the control power turned ON.,Setting error,"Check the following settings.
- The rotary switch setting which specifies slot numbers of each I/O module
- I/O module settings in maintenance mode
Please refer to the manual of each I/O module for the details of the setting",,,,HWC
,,,,,Connection failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, check the connection and insertion of the following cables and connectors.
- The MII communications cable which I/O module of the corresponding node number
- (In case of MII communications last station) Terminator
- 24V power of the corresponding I/O module",,,,HWC
,,,,,I/O module failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the following board. Save the CMOS.BIN before replace the board to be safe.",,,,HWC
,,,,,AIF01 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the AIF01 board. Save the CMOS.BIN before replace the board to be safe. Replace the AIF01 board, and then load the CMOS.BIN saved before alarm occurred.",,,,HWC
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,HWC
,,,14,An error was detected in communications with the I/O module board connected with 14th serial bus when the control power turned ON.,Setting error,"Check the following settings.
- The rotary switch setting which specifies slot numbers of each I/O module
- I/O module settings in maintenance mode
Please refer to the manual of each IO module for the details of the setting",,,,HWC
,,,,,Connection failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, check the connection and insertion of the following cables and connectors.
- The MII communications cable which I/O module of the corresponding node number
- (In case of MII communications last station) Terminator
- 24V power of the corresponding I/O module",,,,HWC
,,,,,I/O module failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the following board. Save the CMOS.BIN before replace the board to be safe.",,,,HWC
,,,,,AIF01 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the AIF01 board. Save the CMOS.BIN before replace the board to be safe. Replace the AIF01 board, and then load the CMOS.BIN saved before alarm occurred.",,,,HWC
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,HWC
,,,15,EtherNet/IP(CPU Board) processing could not be started normally when the control power turned ON.,Setting error,"Check the following settings.
- EtherNet/IP(CPU Board) setting in maintenance mode
- LAN interface setting in maintenance mode
(In particular, the IP address, subnet mask, default gateway are set correctly, and DHCP is not used)
- IO module setting in maintenance mode
- IP address setting of devices connected to the network (the same IP address does not exist).",,,,HWC
,,,,,ACP01 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the ACP01 board. Save the CMOS.BIN before replace the board to be safe.  Replace the ACP01 board, and then remove the SD from the failure ACP01 board to insert it into the new ACP01 board. ",,,,HWC
,,,,,AIF01 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the AIF01 board. Save the CMOS.BIN before replace the board to be safe. Replace the AIF01 board, and then load the CMOS.BIN saved before alarm occurred.",,,,HWC
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,HWC
,,,16,An error was detected in communications with the I/O module board connected with 1st PCI connector when the control power turned ON.,Setting error,"Check the following settings.
- PCI slot number in which each PCI board is mounted
- I/O module settings in maintenance mode
Please refer to the manual of each I/O module for the details of the setting",,,,HWC
,,,,,Connection failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, check the connection and insertion of the following connector.
- The PCI connector of the corresponding I/O module",,,,HWC
,,,,,I/O module failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the following board. Save the CMOS.BIN before replace the board to be safe.
- The corresponding I/O module (PCI board)",,,,HWC
,,,,,AIF01 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the AIF01 board. Save the CMOS.BIN before replace the board to be safe. Replace the AIF01 board, and then load the CMOS.BIN saved before alarm occurred.",,,,HWC
,,,,,EIP board failure,"In the case of PCU-ETHIO(EtherNet/IP) board, please exchange with the board which firmware version is correct.",,,,HWC
,,,,,PROFINET CP1616 board failure,"In the case of CP1616(PROFINET) board, please confirm the following communication configuration using SIEMENS manufactured setting tool (TIA Portal). Please refer to the user manual of the CP1616 for more information on how to set.
- Download the project file.
- Assignment of IP address and device name.",,,,HWC
,,,,,PROFINET SST-PN-2-PE board failure,"In the case of SST-PN-2-PE(PROFINET) board, please confirm  communication configuration using Molex manufactured setting tool (Product Configuration Tool). Please refer to the user manual of the SST-PN-2-PE for more information on how to set.",,,,HWC
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,HWC
,,,17,An error was detected in communications with the I/O module board connected with 2nd PCI when the control power turned ON.,Setting error,"Check the following settings.
- PCI slot number in which each PCI board is mounted
- I/O module settings in maintenance mode
Please refer to the manual of each I/O module for the details of the setting",,,,HWC
,,,,,Connection failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, check the connection and insertion of the following connector.
- The PCI connector of the corresponding I/O module",,,,HWC
,,,,,I/O module failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the following board. Save the CMOS.BIN before replace the board to be safe.
- The corresponding I/O module (PCI board)",,,,HWC
,,,,,AIF01 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the AIF01 board. Save the CMOS.BIN before replace the board to be safe. Replace the AIF01 board, and then load the CMOS.BIN saved before alarm occurred.",,,,HWC
,,,,,EIP board failure,"In the case of PCU-ETHIO(EtherNet/IP) board, please exchange with the board which firmware version is correct.",,,,HWC
,,,,,PROFINET CP1616 board failure,"In the case of CP1616(PROFINET) board, please confirm the following communication configuration using SIEMENS manufactured setting tool (TIA Portal). Please refer to the user manual of the CP1616 for more information on how to set.
- Download the project file.
- Assignment of IP address and device name.",,,,HWC
,,,,,PROFINET SST-PN-2-PE board failure,"In the case of SST-PN-2-PE(PROFINET) board, please confirm  communication configuration using Molex manufactured setting tool (Product Configuration Tool). Please refer to the user manual of the SST-PN-2-PE for more information on how to set.",,,,HWC
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,HWC
,,,18,An error was detected in communications with the I/O module board connected with 3rd PCI when the control power turned ON.,Setting error,"Check the following settings.
- PCI slot number in which each PCI board is mounted
- I/O module settings in maintenance mode
Please refer to the manual of each IO module for the details of the setting",,,,HWC
,,,,,Connection failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, check the connection and insertion of the following connector.
- The PCI connector of the corresponding I/O module",,,,HWC
,,,,,I/O module failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the following board. Save the CMOS.BIN before replace the board to be safe.
- The corresponding I/O module (PCI board)",,,,HWC
,,,,,AIF01 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the AIF01 board. Save the CMOS.BIN before replace the board to be safe. Replace the AIF01 board, and then load the CMOS.BIN saved before alarm occurred.",,,,HWC
,,,,,EIP board failure,"In the case of PCU-ETHIO(EtherNet/IP) board, please exchange with the board which firmware version is correct.",,,,HWC
,,,,,PROFINET CP1616 board failure,"In the case of CP1616(PROFINET) board, please confirm the following communication configuration using SIEMENS manufactured setting tool (TIA Portal). Please refer to the user manual of the CP1616 for more information on how to set.
- Download the project file.
- Assignment of IP address and device name.",,,,HWC
,,,,,PROFINET SST-PN-2-PE board failure,"In the case of SST-PN-2-PE(PROFINET) board, please confirm  communication configuration using Molex manufactured setting tool (Product Configuration Tool). Please refer to the user manual of the SST-PN-2-PE for more information on how to set.",,,,HWC
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,HWC
,,,19,An error was detected in communications with the I/O module board connected with 4th PCI when the control power turned ON.,Setting error,"Check the following settings.
- PCI slot number in which each PCI board is mounted
- I/O module settings in maintenance mode
Please refer to the manual of each IO module for the details of the setting",,,,HWC
,,,,,Connection failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, check the connection and insertion of the following connector.
- The PCI connector of the corresponding I/O module",,,,HWC
,,,,,I/O module failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the following board. Save the CMOS.BIN before replace the board to be safe.
- The corresponding I/O module (PCI board)",,,,HWC
,,,,,AIF01 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the AIF01 board. Save the CMOS.BIN before replace the board to be safe. Replace the AIF01 board, and then load the CMOS.BIN saved before alarm occurred.",,,,HWC
,,,,,EIP board failure,"In the case of PCU-ETHIO(EtherNet/IP) board, please exchange with the board which firmware version is correct.",,,,HWC
,,,,,PROFINET CP1616 board failure,"In the case of CP1616(PROFINET) board, please confirm the following communication configuration using SIEMENS manufactured setting tool (TIA Portal). Please refer to the user manual of the CP1616 for more information on how to set.
- Download the project file.
- Assignment of IP address and device name.",,,,HWC
,,,,,PROFINET SST-PN-2-PE board failure,"In the case of SST-PN-2-PE(PROFINET) board, please confirm  communication configuration using Molex manufactured setting tool (Product Configuration Tool). Please refer to the user manual of the SST-PN-2-PE for more information on how to set.",,,,HWC
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,HWC
0100,COMMUNICATION ERROR(SV#1),"The serial communications between ACP01 board and SDCA01 board in the YRC1000 is monitored by each board.
This alarm occurs if ACP01detects an error in the serial communication between ACP01 board and 1st SDCA01 board.",1,"The error was detected during the check of the serial communication watchdog data.
Counter value received from SDCA01 board is invalid.",Setting error,"Check the following settings.
- Control group settings in maintenance mode
- The SDCA01 board rotary switch setting (0) of the corresponding node number (SV#1)",,,,HWC
,,,,,Connection failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, check the connection and insertion of the following cables and connectors.
- CN509 cable of SDCA01 board
- The cable of SDCA01 board connector CN515/516
- The cable of AIF01 board connector CN111
- The cable of CPS unit connector CN157",,,,HWC
,,,,,SDCA01 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the SDCA01 board. Save the CMOS.BIN before replace the board to be safe.",,,,HWC
,,,,,AIF01 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the AIF01 board. Save the CMOS.BIN before replace the board to be safe. Replace the AIF01 board, and then load the CMOS.BIN saved before alarm occurred.",,,,HWC
,,,,,ACP01 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the ACP01 board. Save the CMOS.BIN before replace the board to be safe.  Replace the ACP01 board, and then remove the SD card from the failure ACP01 board to insert it into the new ACP01 board.",,,,HWC
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,HWC
,,,3,"The error was detected during the check of the serial communication watchdog data.
Watchdog data cannot be received from SDCA01 board.",Setting error,"Check the following settings.
- Control group settings in maintenance mode
- The SDCA01 board rotary switch setting (0) of the corresponding node number (SV#1)",,,,HWC
,,,,,Connection failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, check the connection and insertion of the following cables and connectors.
- CN509 cable of SDCA01 board #1
- The cable of SDCA01 board #1 connector CN515
- The cable of AIF01 board connector CN111
- The cable of CPS unit connector CN157",,,,HWC
,,,,,SDCA01 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the SDCA01 board. Save the CMOS.BIN before replace the board to be safe.",,,,HWC
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,HWC
0101,COMMUNICATION ERROR(SV#2),"The serial communications between ACP01 board and SDCA01 board in the YRC1000 is monitored by each board.
This alarm occurs if ACP01detects an error in the serial communication between ACP01 board and 2nd SDCA01 board.",1,"The error was detected during the check of the serial communication watchdog data.
Counter value received from SDCA01 board is invalid.",Setting error,"Check the following settings.
- Control group settings in maintenance mode
- The SDCA01 board rotary switch setting (1) of the corresponding node number (SV#2)",,,,HWC
,,,,,Connection failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, check the connection and insertion of the following cables and connectors.
- CN509 cable of SDCA01 board
- The cable of SDCA01 board connector CN515/516
- The cable of AIF01 board connector CN111
- The cable of CPS unit connector CN157",,,,HWC
,,,,,SDCA01 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the SDCA01 board. Save the CMOS.BIN before replace the board to be safe.",,,,HWC
,,,,,APU unit failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the APU unit. Save the CMOS.BIN before replace the unit to be safe.",,,,HWC
,,,,,AIF01 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the AIF01 board. Save the CMOS.BIN before replace the board to be safe. Replace the AIF01 board, and then load the CMOS.BIN saved before alarm occurred.",,,,HWC
,,,,,ACP01 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the ACP01 board. Save the CMOS.BIN before replace the board to be safe.  Replace the ACP01 board, and then remove the SD card from the failure ACP01 board to insert it into the new ACP01 board.",,,,HWC
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,HWC
,,,3,"The error was detected during the check of the serial communication watchdog data.
Watchdog data cannot be received from SDCA01 board.",Setting error,"Check the following settings.
- Control group settings in maintenance mode
- The SDCA01 board rotary switch setting (1) of the corresponding node number (SV#2)",,,,HWC
,,,,,Connection failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, check the connection and insertion of the following cables and connectors.
- CN509 cable of SDCA01 board #2
- The cable of SDCA01 board #2 connector CN515
- The cable of SDCA01 board #1 connector CN516
- The cable of CPS unit connector CN157",,,,HWC
,,,,,SDCA01 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the SDCA01 board. Save the CMOS.BIN before replace the board to be safe.",,,,HWC
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,HWC
0102,COMMUNICATION ERROR(SV#3),"The serial communications between ACP01 board and SDCA01 board in the YRC1000 is monitored by each board.
This alarm occurs if ACP01detects an error in the serial communication between ACP01 board and 3rd SDCA01 board.",1,"The error was detected during the check of the serial communication watchdog data.
Counter value received from SDCA01 board is invalid.",Setting error,"Check the following settings.
- Control group settings in maintenance mode
- The SDCA01 board rotary switch setting (2) of the corresponding node number (SV#3)",,,,HWC
,,,,,Connection failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, check the connection and insertion of the following cables and connectors.
- CN509 cable of SDCA01 board
- The cable of SDCA01 board connector CN515/516
- The cable of AIF01 board connector CN111
- The cable of CPS unit connector CN157",,,,HWC
,,,,,SDCA01 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the SDCA01 board. Save the CMOS.BIN before replace the board to be safe.",,,,HWC
,,,,,APU unit failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the APU unit. Save the CMOS.BIN before replace the unit to be safe.",,,,HWC
,,,,,AIF01 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the AIF01 board. Save the CMOS.BIN before replace the board to be safe. Replace the AIF01 board, and then load the CMOS.BIN saved before alarm occurred.",,,,HWC
,,,,,ACP01 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the ACP01 board. Save the CMOS.BIN before replace the board to be safe.  Replace the ACP01 board, and then remove the SD card from the failure ACP01 board to insert it into the new ACP01 board.",,,,HWC
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,HWC
,,,3,"The error was detected during the check of the serial communication watchdog data.
Watchdog data cannot be received from SDCA01 board.",Setting error,"Check the following settings.
- Control group settings in maintenance mode
- The SDCA01 board rotary switch setting (2) of the corresponding node number (SV#3)",,,,HWC
,,,,,Connection failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, check the connection and insertion of the following cables and connectors.
- CN509 cable of SDCA01 board #3
- The cable of SDCA01 board #3 connector CN515
- The cable of SDCA01 board #2 connector CN516
- The cable of CPS unit connector CN157",,,,HWC
,,,,,SDCA01 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the SDCA01 board. Save the CMOS.BIN before replace the board to be safe.",,,,HWC
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,HWC
0103,COMMUNICATION ERROR(SV#4),"The serial communications between ACP01 board and SDCA01 board in the YRC1000 is monitored by each board.
This alarm occurs if ACP01detects an error in the serial communication between ACP01 board and 4th SDCA01 board.",1,"The error was detected during the check of the serial communication watchdog data.
Counter value received from SDCA01 board is invalid.",Setting error,"Check the following settings.
- Control group settings in maintenance mode
- The SDCA01 board rotary switch setting (3) of the corresponding node number (SV#4)",,,,HWC
,,,,,Connection failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, check the connection and insertion of the following cables and connectors.
- CN509 cable of SDCA01 board
- The cable of SDCA01 board connector CN515/516
- The cable of AIF01 board connector CN111
- The cable of CPS unit connector CN157",,,,HWC
,,,,,SDCA01 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the SDCA01 board. Save the CMOS.BIN before replace the board to be safe.",,,,HWC
,,,,,APU unit failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the APU unit. Save the CMOS.BIN before replace the unit to be safe.",,,,HWC
,,,,,AIF01 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the AIF01 board. Save the CMOS.BIN before replace the board to be safe. Replace the AIF01 board, and then load the CMOS.BIN saved before alarm occurred.",,,,HWC
,,,,,ACP01 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the ACP01 board. Save the CMOS.BIN before replace the board to be safe.  Replace the ACP01 board, and then remove the SD card from the failure ACP01 board to insert it into the new ACP01 board.",,,,HWC
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,HWC
,,,3,"The error was detected during the check of the serial communication watchdog data.
Watchdog data cannot be received from SDCA01 board.",Setting error,"Check the following settings.
- Control group settings in maintenance mode
- The SDCA01 board rotary switch setting (3) of the corresponding node number (SV#4)",,,,HWC
,,,,,Connection failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, check the connection and insertion of the following cables and connectors.
- CN509 cable of SDCA01 board #4
- The cable of SDCA01 board #4 connector CN515
- The cable of SDCA01 board #3 connector CN516
- The cable of CPS unit connector CN157",,,,HWC
,,,,,SDCA01 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the SDCA01 board. Save the CMOS.BIN before replace the board to be safe.",,,,HWC
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,HWC
0104,COMMUNICATION ERROR(SV#5),"The serial communications between ACP01 board and SDCA01 board in the YRC1000 is monitored by each board.
This alarm occurs if ACP01detects an error in the serial communication between ACP01 board and 5th SDCA01 board.",1,"The error was detected during the check of the serial communication watchdog data.
Counter value received from SDCA01 board is invalid.",Setting error,"Check the following settings.
- Control group settings in maintenance mode
- The SDCA01 board rotary switch setting (4) of the corresponding node number (SV#5)",,,,HWC
,,,,,Connection failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, check the connection and insertion of the following cables and connectors.
- CN509 cable of SDCA01 board
- The cable of SDCA01 board connector CN515/516
- The cable of AIF01 board connector CN111
- The cable of CPS unit connector CN157",,,,HWC
,,,,,SDCA01 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the SDCA01 board. Save the CMOS.BIN before replace the board to be safe.",,,,HWC
,,,,,APU unit failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the APU unit. Save the CMOS.BIN before replace the unit to be safe.",,,,HWC
