DX200,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Alarm Number,Alarm Name/Message,Contents,Sub Code,Meaning,Cause,Remedy,ê}ï\1,ê}ï\2,è⁄ç◊ê‡ñæ(ãZèpé“óp),Notes
,,,67,An error occurred in the SNTP server address acquisition process in the DHCP of the Ethernet function.,Setting error,"(1)Check the following settings.
- The DHCP server operation
- The network status",,,,HWC
,,,,,YCP21 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the YCP21 board. Save the CMOS.BIN before replace the board to be safe.  Replace the YCP21 board, and then remove the CF from the failure YCP21 board to insert it into the new YCP21 board. ",,,,HWC
,,,,,other,"If the alarm occurs again, save the CMOS.BIN in maintenance mode, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,HWC
,,,68,An error occurred in the IP address acquisition process in the DHCP of the Ethernet function.,Setting error,"(1)Check the following settings.
- The DHCP server operation
- The network status",,,,HWC
,,,,,YCP21 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the YCP21 board. Save the CMOS.BIN before replace the board to be safe.  Replace the YCP21 board, and then remove the CF from the failure YCP21 board to insert it into the new YCP21 board. ",,,,HWC
,,,,,other,"If the alarm occurs again, save the CMOS.BIN in maintenance mode, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,HWC
,,,69,An error occurred in the DHCP interface structure object mapping process of the Ethernet function.,Setting error,"(1)Check the following settings.
- The DHCP server operation
- The network status",,,,HWC
,,,,,YCP21 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the YCP21 board. Save the CMOS.BIN before replace the board to be safe.  Replace the YCP21 board, and then remove the CF from the failure YCP21 board to insert it into the new YCP21 board. ",,,,HWC
,,,,,other,"If the alarm occurs again, save the CMOS.BIN in maintenance mode, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,HWC
,,,70,An error occurred in the DNS resolver initialization process of the Ethernet function.,Setting error,"(1)Check the following settings.
- The domain name
- The DNS related settings
- The DHCP server operation
- The network status",,,,HWC
,,,,,YCP21 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the YCP21 board. Save the CMOS.BIN before replace the board to be safe.  Replace the YCP21 board, and then remove the CF from the failure YCP21 board to insert it into the new YCP21 board. ",,,,HWC
,,,,,other,"If the alarm occurs again, save the CMOS.BIN in maintenance mode, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,HWC
,,,71,An error occurred in the DNS resolver setting of the Ethernet function.,Setting error,"(1)Check the following settings.
- The domain name
- The DNS related settings
- The DHCP server operation
- The network status",,,,HWC
,,,,,YCP21 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the YCP21 board. Save the CMOS.BIN before replace the board to be safe.  Replace the YCP21 board, and then remove the CF from the failure YCP21 board to insert it into the new YCP21 board. ",,,,HWC
,,,,,other,"If the alarm occurs again, save the CMOS.BIN in maintenance mode, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,HWC
,,,72,The parameter setting error occurred in the DNS resolver setting of the Ethernet function.,Setting error,"(1)Check the following settings.
- The domain name
- The DNS related settings
- The DHCP server operation
- The network status",,,,HWC
,,,,,YCP21 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the YCP21 board. Save the CMOS.BIN before replace the board to be safe.  Replace the YCP21 board, and then remove the CF from the failure YCP21 board to insert it into the new YCP21 board. ",,,,HWC
,,,,,other,"If the alarm occurs again, save the CMOS.BIN in maintenance mode, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,HWC
,,,73,The mode error occurred in the DNS resolver setting of the Ethernet function.,Setting error,"(1)Check the following settings.
- The domain name
- The DNS related settings
- The DHCP server operation
- The network status",,,,HWC
,,,,,YCP21 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the YCP21 board. Save the CMOS.BIN before replace the board to be safe.  Replace the YCP21 board, and then remove the CF from the failure YCP21 board to insert it into the new YCP21 board. ",,,,HWC
,,,,,other,"If the alarm occurs again, save the CMOS.BIN in maintenance mode, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,HWC
,,,80,An error occurred in the basic library initialization process of the Ethernet function.,Software operation error occurred,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, save the CMOS.BIN in maintenance mode, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,HWC
,,,,,YCP21 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the YCP21 board. Save the CMOS.BIN before replace the board to be safe.  Replace the YCP21 board, and then remove the CF from the failure YCP21 board to insert it into the new YCP21 board. ",,,,HWC
,,,81,An error occurred in the initialization process other than basic library of the Ethernet function.,Software operation error occurred,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, save the CMOS.BIN in maintenance mode, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,HWC
,,,,,YCP21 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the YCP21 board. Save the CMOS.BIN before replace the board to be safe.  Replace the YCP21 board, and then remove the CF from the failure YCP21 board to insert it into the new YCP21 board. ",,,,HWC
,,,100,An error occurred in the IP address acquisition process in the DHCP of the Ethernet function.,Software operation error occurred,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, save the CMOS.BIN in maintenance mode, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,HWC
,,,,,YCP21 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the YCP21 board. Save the CMOS.BIN before replace the board to be safe.  Replace the YCP21 board, and then remove the CF from the failure YCP21 board to insert it into the new YCP21 board. ",,,,HWC
,,,240,An error occurred in the start process of the Ethernet function Telnet (for onboard).,Software operation error occurred,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, save the CMOS.BIN in maintenance mode, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,HWC
,,,,,YCP21 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the YCP21 board. Save the CMOS.BIN before replace the board to be safe.  Replace the YCP21 board, and then remove the CF from the failure YCP21 board to insert it into the new YCP21 board. ",,,,HWC
,,,241,An error occurred in the start process of the Ethernet function Telnet (for expand).,Software operation error occurred,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, save the CMOS.BIN in maintenance mode, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,HWC
,,,,,YCP21 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the YCP21 board. Save the CMOS.BIN before replace the board to be safe.  Replace the YCP21 board, and then remove the CF from the failure YCP21 board to insert it into the new YCP21 board. ",,,,HWC
,,,1001,An error occurred in the device initialization process of the Ethernet function(Extended LAN interface).,Extended LAN interface board failure.,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the extended LAN interface board.",,,,HWC
,,,,,YCP21 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the YCP21 board. Save the CMOS.BIN before replace the board to be safe.  Replace the YCP21 board, and then remove the CF from the failure YCP21 board to insert it into the new YCP21 board. ",,,,HWC
,,,1006,An error occurred in the MAC address getting process of the Ethernet function(Extended LAN interface).,Extended LAN interface board failure.,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the extended LAN interface board.",,,,HWC
,,,,,YCP21 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the YCP21 board. Save the CMOS.BIN before replace the board to be safe.  Replace the YCP21 board, and then remove the CF from the failure YCP21 board to insert it into the new YCP21 board. ",,,,HWC
1222,IP ADDRESS SET FAIL(DHCP),The IP address acquired in the DHCP of the Ethernet function is not enabled.,,IP address could not be obtained at DHCP.,Setting error,"(1)Check the following settings.
- The DHCP server operation
- The network status",,,,HWC
,,,,,YCP21 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the YCP21 board. Save the CMOS.BIN before replace the board to be safe.  Replace the YCP21 board, and then remove the CF from the failure YCP21 board to insert it into the new YCP21 board. ",,,,HWC
,,,,,other,"If the alarm occurs again, save the CMOS.BIN in maintenance mode, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,HWC
1240,SAFETY FIELDBUS SETTING ERROR,An error occurred in parameter which is used in the Safety Fieldbus function.,1,Machine Safety doesn't correctly read the value of the processing start wait time.,Data error,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, save the following parameter file in online mode. Initialize the following parameter file in maintenance mode, and then load the parameter file saved in the external memory device.
•SD.PRM",,,,HWC
,,,,,YCP21 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the YCP21 board. Save the CMOS.BIN before replace the board to be safe.  Replace the YCP21 board, and then remove the CF from the failure YCP21 board to insert it into the new YCP21",,,,HWC
,,,,,YSF21 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the YSF21 board.",,,,HWC
,,,,,other,"If the alarm occurs again, save the CMOS.BIN in maintenance mode, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,
1241,SAFETY FIELDBUS SYSTEM ERROR,An error occurred in the Safety Fieldbus function.,1,The error was detected by the PROFIsafe stack.,YSF21 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the YSF21 board.",,,,HWC
,,,,,other,"If the alarm occurs again, save the CMOS.BIN in maintenance mode, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,HWC
,,,2,The error was detected by the CIP Safety stack (CH1). Subcode shows the error part of software.,YSF21 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the YSF21 board.",,,,HWC
,,,,,other,"If the alarm occurs again, save the CMOS.BIN in maintenance mode, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,HWC
,,,3,The error was detected by the CIP Safety stack (CH2). Subcode shows the error part of software.,YSF21 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the YSF21 board.",,,,HWC
,,,,,other,"If the alarm occurs again, save the CMOS.BIN in maintenance mode, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,HWC
,,,10,Processing of safety field bus was not completed to the default time.,YSF21 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the YSF21 board.",,,,HWC
,,,,,other,"If the alarm occurs again, save the CMOS.BIN in maintenance mode, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,HWC
,,,11,The error was detected with the status check of safety field bus communication.,YSF21 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the YSF21 board.",,,,HWC
,,,,,other,"If the alarm occurs again, save the CMOS.BIN in maintenance mode, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,HWC
,,,12,Invalid processing was detected by the safety field bus.,YSF21 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the YSF21 board.",,,,HWC
,,,,,other,"If the alarm occurs again, save the CMOS.BIN in maintenance mode, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,HWC
,,,13,Invalid processing was detected by the safety field bus.,YSF21 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the YSF21 board.",,,,HWC
,,,,,other,"If the alarm occurs again, save the CMOS.BIN in maintenance mode, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,HWC
,,,15,Virtual communication mode was switched to virtual from safety during the communication of safety field bus.,Software operation error occurred,"Set the following item in maintenance mode.
•In the case of PROFIsafe, please set the virtual communication to ""safety"" in the CP1616 board setting screen.
•In the case of EtherNet/IP Safety, please set the virtual communication to ""safety"" in the EtherNet/IP (CPU board) setting screen.
•In the case of DeviceNet Safety, please set the virtual communication to ""safety"" in the DN4 board setting screen.",,,,HWC
,,,,,YSF21 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the YSF21 board.",,,,HWC
,,,,,YCP21 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the YCP21 board. Save the CMOS.BIN before replace the board to be safe.  Replace the YCP21 board, and then remove the CF from the failure YCP21 board to insert it into the new YCP21",,,,HWC
,,,,,other,"If the alarm occurs again, save the CMOS.BIN in maintenance mode, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,HWC
,,,100,The error was detected with the communication status check processing of safety field bus (PROFIsafe).,YSF21 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the YSF21 board.",,,,HWC
,,,,,other,"If the alarm occurs again, save the CMOS.BIN in maintenance mode, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,HWC
,,,101,The error was detected with the communication status check processing of safety field bus (PROFIsafe).,YSF21 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the YSF21 board.",,,,HWC
,,,,,other,"If the alarm occurs again, save the CMOS.BIN in maintenance mode, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,HWC
,,,102,Invalid processing status was detected by the safety field bus (PROFIsafe).,YSF21 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the YSF21 board.",,,,HWC
,,,,,other,"If the alarm occurs again, save the CMOS.BIN in maintenance mode, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,HWC
,,,103,The error was detected with the initializing processing of safety field bus (PROFIsafe).,YSF21 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the YSF21 board.",,,,HWC
,,,,,other,"If the alarm occurs again, save the CMOS.BIN in maintenance mode, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,HWC
,,,104,Invalid processing status was detected by the safety field bus (PROFIsafe).,YSF21 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the YSF21 board.",,,,HWC
,,,,,other,"If the alarm occurs again, save the CMOS.BIN in maintenance mode, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,HWC
,,,105,The error was detected with the F_Dest_Add acquisition processing of safety field bus (PROFIsafe).,YSF21 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the YSF21 board.",,,,HWC
,,,,,other,"If the alarm occurs again, save the CMOS.BIN in maintenance mode, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,HWC
,,,106,The error was detected with the F-Parameter check processing of safety field bus (PROFIsafe).,YSF21 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the YSF21 board.",,,,HWC
,,,,,other,"If the alarm occurs again, save the CMOS.BIN in maintenance mode, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,HWC
,,,107,The error was detected with the Config processing of safety field bus (PROFIsafe).,YSF21 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the YSF21 board.",,,,HWC
,,,,,other,"If the alarm occurs again, save the CMOS.BIN in maintenance mode, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,HWC
,,,108,The error was detected with the cyclic execution processing of safety field bus (PROFIsafe).,YSF21 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the YSF21 board.",,,,HWC
,,,,,other,"If the alarm occurs again, save the CMOS.BIN in maintenance mode, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,HWC
,,,109,The error was detected with the Output data reception processing of safety field bus (PROFIsafe).,YSF21 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the YSF21 board.",,,,HWC
,,,,,other,"If the alarm occurs again, save the CMOS.BIN in maintenance mode, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,HWC
,,,110,The error was detected with the Output data acquisition processing of safety field bus (PROFIsafe).,YSF21 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the YSF21 board.",,,,HWC
,,,,,other,"If the alarm occurs again, save the CMOS.BIN in maintenance mode, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,HWC
,,,111,The error was detected with the Input data setting processing of safety field bus (PROFIsafe).,YSF21 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the YSF21 board.",,,,HWC
,,,,,other,"If the alarm occurs again, save the CMOS.BIN in maintenance mode, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,HWC
,,,112,The error was detected with the Input data transmission processing of safety field bus (PROFIsafe).,YSF21 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the YSF21 board.",,,,HWC
,,,,,other,"If the alarm occurs again, save the CMOS.BIN in maintenance mode, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,HWC
,,,113,The error was detected with the cyclic stop processing of safety field bus (PROFIsafe).,YSF21 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the YSF21 board.",,,,HWC
,,,,,other,"If the alarm occurs again, save the CMOS.BIN in maintenance mode, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,HWC
1245,AIR PRESS ERROR(LOW)1,An error occurred in the detection signal of the air pressure (low pressure detection) .,0,Air pressure unit 1 error. An error occurred in the detection signal of the air pressure (low pressure detection) .,Air pressure failure ,"(1)Cycle the power.
(2)If the alarm occurs again,  check if the pressure display at the pressure unit is within the setting range. 
",,,,SYSCON
,,,,,Connection failure,"(1)Cycle the power.
(2)If the alarm occurs again, check if there is no cable failure (broken line) between the pressure unit and the barrier unit in the controller. 
(3)Check the connection/insertion status of the following connector and also check if there is no failure in the cable (such as broken line) connected to the following connector. 
- YIS21 board-CN661
",,,,SYSCON
,,,,,Pressure detector failure ,"(1)Cycle the power.
(2)If the alarm occurs again, check if the pressure detector (low pressure detection)  is turned ON when the air is applied and it is turned OFF when no air is applied. 
(3)If the pressure detector doesn't work like (2), replace the pressure unit. 
",,,,SYSCON
,,,,,Barrier unit for pressure detection failure,"(1)Cycle the power.
(2)If the alarm occurs again, check if the output signal of the barrier for pressure detection becomes ON and OFF in accordance with ON/OFF status of the pressure detector(low pressure detection). 
(3)If the barrier unit doesn't work like (2), confirm that there is no cable failure (broken line) in the cable connected to the barrier unit, and then replace the barrier unit. ",,,,SYSCON
,,,,,YIS21 board failure,"(1)Cycle the power.
(2)If the alarm occurs again, replace the YIS21 board.Be sure to configure the switch setting (timer setting) at YIS21 board same as before replacement. 
",,,,SYSCON
,,,1,Air pressure unit 2 error. An error occurred in the detection signal of the air pressure (low pressure detection) .,Air pressure failure ,"(1)Cycle the power.
(2)If the alarm occurs again, check if the pressure display at the pressure unit is within the setting range. 
",,,,SYSCON
,,,,,Connection failure,"(1)Cycle the power.
(2)If the alarm occurs again, check if there is no cable failure (broken line) between the pressure unit and the barrier unit in the controller. 
(3)Check the connection/insertion status of the following connector and also check if there is no failure in the cable (such as broken line) connected to the following connector. 
- YIS21 board-CN661
",,,,SYSCON
,,,,,Pressure detector failure ,"(1)Cycle the power.
(2)If the alarm occurs again, check if the pressure detector (low pressure detection)  is turned ON when the air is applied and it is turned OFF when no air is applied. 
(3)If the pressure detector doesn't work like (2), replace the pressure unit. 
",,,,SYSCON
,,,,,Barrier unit for pressure detection failure,"(1)Cycle the power.
(2)If the alarm occurs again, check if the output signal of the barrier for pressure detection becomes ON and OFF in accordance with ON/OFF status of the pressure detector(low pressure detection). 
(3)If the barrier unit doesn't work like (2), confirm that there is no cable failure (broken line) in the cable connected to the barrier unit, and then replace the barrier unit. ",,,,SYSCON
,,,,,YIS21 board failure,"(1)Cycle the power.
(2)If the alarm occurs again, replace the YIS21 board.Be sure to configure the switch setting (timer setting) at YIS21 board same as before replacement. 
",,,,SYSCON
1246,AIR PRESS ERROR(HIGH)1,An error occurred in the detection signal of the air pressure (high pressure detection) .,0,Air pressure unit 1 error. An error occurred in the detection signal of the air pressure (high pressure detection) .,Air pressure failure ,"(1)Cycle the power.
(2)If the alarm occurs again, check if the pressure display at the pressure unit is within the setting range. 
",,,,SYSCON
,,,,,Connection failure,"(1)Cycle the power.
(2)If the alarm occurs again, check if there is no cable failure (broken line) between the pressure unit and the barrier unit in the controller. 
(3)Check the connection/insertion status of the following connector and also check if there is no failure in the cable (such as broken line) connected to the following connector. 
- YIS21 board-CN661
",,,,SYSCON
,,,,,Pressure detector failure ,"(1)Cycle the power.
(2)If the alarm occurs again,Confirm that the pressure detector (high pressure detection) is ON with the state where no air is applied.
(3)If the pressure detector is not ON, replace the pressure unit. ",,,,SYSCON
,,,,,Barrier unit for pressure detection failure,"(1)Cycle the power.
(2)If the alarm occurs again, check if the output signal of the barrier for pressure detection becomes ON and OFF in accordance with ON/OFF status of the pressure detector(high pressure detection). 
(3)If the barrier unit doesn't work like (2), confirm that there is no cable failure (broken line) in the cable connected to the barrier unit, and then replace the barrier unit. ",,,,SYSCON
,,,,,YIS21 board failure,"(1)Cycle the power.
(2)If the alarm occurs again, replace the YIS21 board.Be sure to configure the switch setting (timer setting) at YIS21 board same as before replacement. 
",,,,SYSCON
,,,1,Air pressure unit 2 error. An error occurred in the detection signal of the air pressure (high pressure detection) .,Air pressure failure ,"(1)Cycle the power.
(2)If the alarm occurs again, check if the pressure display at the pressure unit is within the setting range. 
",,,,SYSCON
,,,,,Pressure detector failure ,"(1)Cycle the power.
(2)If the alarm occurs again,Confirm that the pressure detector (high pressure detection) is ON with the state where no air is applied.
(3)If the pressure detector is not ON, replace the pressure unit. ",,,,SYSCON
,,,,,Barrier unit for pressure detection failure,"(1)Cycle the power.
(2)If the alarm occurs again, check if the output signal of the barrier for pressure detection becomes ON and OFF in accordance with ON/OFF status of the pressure detector(high pressure detection). 
(3)If the barrier unit doesn't work like (2), confirm that there is no cable failure (broken line) in the cable connected to the barrier unit, and then replace the barrier unit. ",,,,SYSCON
,,,,,YIS21 board failure,"(1)Cycle the power.
(2)If the alarm occurs again, replace the YIS21 board.Be sure to configure the switch setting (timer setting) at YIS21 board same as before replacement. 
",,,,SYSCON
,,,,,YIS21 board failure,"(1)Cycle the power.
(2)If the alarm occurs again, replace the YIS21 board. Be sure to configure the switch setting (timer setting) at YIS21 board same as before replacement. 
",,,,SYSCON
1247,AIR PURGE ERROR1,An error occurred in the detection signal of the air pressure (air purge detection) .,0,Air pressure unit 1 error. An error occurred in the detection signal of the air pressure (air purge detection) .,Air pressure failure ,"(1)Cycle the power.
(2)If the alarm occurs again, check if the pressure display at the pressure unit is within the setting range. 
",,,,SYSCON
,,,,,Connection failure,"(1)Cycle the power.
(2)If the alarm occurs again, check if there is no cable failure (broken line, short circuit) between the pressure unit and the barrier unit in the controller. 
(3)Check the connection/insertion status of the following connector and also check if there is no failure (such as broken line) in the cable connected to the following connector. 
- YIS21 board-CN661",,,,SYSCON
,,,,,Pressure detector failure ,"(1)Cycle the power.
(2)If the alarm occurs again, check if the pressure detector (air purge pressure detection) becomes ON when the air purge pressure is applied and it becomes OFF when no air purge pressure is applied. 
(3)If the pressure detector doesn't work like (2), replace the pressure unit. 
",,,,SYSCON
,,,,,Control pressure valve failure,"(1)Cycle the power.
(2)If the alarm occurs again, check if control pressure valve becomes ON when the power is turned ON. 
(3)If the control pressure valve doesn't become ON, confirm that there is no failure (broken line, short circuit) in the cable connected to valve, and then replace the pressure unit. ",,,,SYSCON
,,,,,Barrier unit for pressure detection failure,"(1)Cycle the power.
(2)If the alarm occurs again,check if the output signal of the barrier for pressure detection becomes ON and OFF in accordance with ON/OFF status of the pressure detector(air purge pressure detection). 
(3)If the barrier for pressure detection doesn't work like (2), confirm that there is no cable failure (broken line) in the cable connected to the barrier unit, and then replace the barrier unit. ",,,,SYSCON
,,,,,Barrier for control pressure valve failure,"(1)Cycle the power.
(2)If the alarm occurs again, confirm that the barrier for control pressure valve becomes ON when the power is turned ON. 
(3)If the barrier doesn't become ON, confirm that there is no failure in the cable connected to the barrier, and then replace the barrier. 
",,,,SYSCON
,,,,,Fuse failure,"(1)Cycle the power.
(2)If the alarm occurs again, check if the fuse in YIS21 board (FU3,FU4,FU5,FU6) is not broken. 
(3)If the fuse is broken, confirm that there is no cable failure (such as short circuit, ground fault) in the cable connected to YIS21 board, and then replace the fuse. 
",,,,SYSCON
,,,,,YIS21 board failure,"(1)Cycle the power.
(2)If the alarm occurs again, replace the YIS21 board.Be sure to configure the switch setting (timer setting) at YIS21 board same as before replacement. 
",,,,SYSCON
,,,1,Air pressure unit 2 error. An error occurred in the detection signal of the air pressure (air purge detection) .,Air pressure failure ,"(1)Cycle the power.
(2)If the alarm occurs again, check if the pressure display at the pressure unit is within the setting range. 
",,,,SYSCON
,,,,,Connection failure,"(1)Cycle the power.
(2)If the alarm occurs again, check if there is no cable failure (broken line, short circuit) between the pressure unit and the barrier unit in the controller. 
(3)Check the connection/insertion status of the following connector and also check if there is no failure (such as broken line) in the cable connected to the following connector. 
- YIS21 board-CN661",,,,SYSCON
,,,,,Pressure detector failure ,"(1)Cycle the power.
(2)If the alarm occurs again, check if the pressure detector (air purge pressure detection) becomes ON when the air purge pressure is applied and it becomes OFF when no air purge pressure is applied. 
(3)If the pressure detector doesn't work like (2), replace the pressure unit. 
",,,,SYSCON
,,,,,Control pressure valve failure,"(1)Cycle the power.
(2)If the alarm occurs again, check if control pressure valve becomes ON when the power is turned ON. 
(3)If the control pressure valve doesn't become ON, confirm that there is no failure (broken line, short circuit) in the cable connected to valve, and then replace the pressure unit. ",,,,SYSCON
,,,,,Barrier unit for pressure detection failure,"(1)Cycle the power.
(2)If the alarm occurs again,check if the output signal of the barrier for pressure detection becomes ON and OFF in accordance with ON/OFF status of the pressure detector(air purge pressure detection). 
(3)If the barrier for pressure detection doesn't work like (2), confirm that there is no cable failure (broken line) in the cable connected to the barrier unit, and then replace the barrier unit. ",,,,SYSCON
,,,,,Barrier for control pressure valve failure,"(1)Cycle the power.
(2)If the alarm occurs again, confirm that the barrier for control pressure valve becomes ON when the power is turned ON. 
(3)If the barrier doesn't become ON, confirm that there is no failure in the cable connected to the barrier, and then replace the barrier. 
",,,,SYSCON
,,,,,Fuse failure,"(1)Cycle the power.
(2)If the alarm occurs again, check if the fuse in YIS21 board (FU3,FU4,FU5,FU6) is not broken. 
(3)If the fuse is broken, confirm that there is no cable failure (such as short circuit, ground fault) in the cable connected to YIS21 board, and then replace the fuse. 
",,,,SYSCON
,,,,,YIS21 board failure,"(1)Cycle the power.
(2)If the alarm occurs again, replace the YIS21 board.Be sure to configure the switch setting (timer setting) at YIS21 board same as before replacement. 
",,,,SYSCON
1248,IOSPDCTRL SET ERROR,IOSPDCTRL setting is abnormal,,"Nine or more IOSPDCTRL are set.
Sub code:The setting number of IOSPDCTRL",Setting error,"Modify the setting number of IOSPDCTRL to less than 9 in the maintenance mode. 
If the alarm occurs again, save the CMOS.BIN in maintenance mode, and then contact your Yaskawa representative.",,,,SYSCON
1249,AIR PRESS ERROR(LOW)2,An error occurred in the detection signal of the air pressure (low pressure detection) .,0,Air pressure unit 3 error. An error occurred in the detection signal of the air pressure (low pressure detection) .,Air pressure failure ,"(1)Cycle the power.
(2)If the alarm occurs again, check if the pressure display at the pressure unit is within the setting range. 
",,,,SYSCON
,,,,,Connection failure,"(1)Cycle the power.
(2)If the alarm occurs again, check if there is no cable failure (broken line) between the pressure unit and the barrier unit in the controller. 
(3)Check the connection/insertion status of the following connector and also check if there is no failure in the cable (such as broken line) connected to the following connector. 
- YIS21 board-CN661
",,,,SYSCON
,,,,,Pressure detector failure ,"(1)Cycle the power.
(2)If the alarm occurs again, check if the pressure detector (low pressure detection)  is turned ON when the air is applied and it is turned OFF when no air is applied. 
(3)If the pressure detector doesn't work like (2), replace the pressure unit. ",,,,SYSCON
,,,,,Barrier unit for pressure detection failure,"(1)Cycle the power.
(2)If the alarm occurs again, check if the output signal of the barrier for pressure detection becomes ON and OFF in accordance with ON/OFF status of the pressure detector(low pressure detection). 
(3)If the barrier for pressure detection doesn't work like (2), confirm that there is no cable failure (broken line) in the cable connected to the barrier unit, and then replace the barrier unit. ",,,,SYSCON
