YRC1000micro,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Alarm Number,Alarm Name/Message,Contents,Sub Code,Meaning,Cause,Remedy,}•\1,}•\2,ŹÚŤ×ŕ–ľ(‹ZŹpŽŇ—p),”őŤl
,,,1003,The check item number of SVP parameter is unmatched.,Software operation error occurred,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SERVO
,,,1004,The check item number of AMC parameter is unmatched.,Software operation error occurred,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SERVO
,,,1005,The check item number of MFG parameter is unmatched.,Software operation error occurred,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SERVO
,,,1006,The check item number of MFA parameter is unmatched.,Software operation error occurred,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SERVO
,,,1007,The check item number of SVC parameter is unmatched.,Software operation error occurred,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SERVO
,,,1008,The check item number of SE parameter is unmatched.,Software operation error occurred,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SERVO
,,,1009,The check item number of SVC parameter is unmatched.,Software operation error occurred,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SERVO
,,,2100,The motioning software is not used with circuit board as target.,Software operation error occurred,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SERVO
,,,2200,The notification command of the test pattern cannot be received.,Software operation error occurred,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SERVO
,,,2500,The JL077 in which the each falt signal is recognized but no notification is sent from the converter. ,Connection failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the controller. Save the CMOS.BIN before replacement to be safe.
",,,,SERVO
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,SERVO
,,,4001,Execution of motion command did not complete within a certain time period. (***: command code No.),Software operation error occurred,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SERVO
,,,4002,Execution of motion command did not complete within a certain time period. (***: command code No.),Software operation error occurred,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SERVO
,,,4003,Execution of motion command did not complete within a certain time period. (***: command code No.),Software operation error occurred,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SERVO
,,,4004,Execution of motion command did not complete within a certain time period. (***: command code No.),Software operation error occurred,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SERVO
,,,4005,Execution of motion command did not complete within a certain time period. (***: command code No.),Software operation error occurred,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SERVO
,,,4006,Execution of motion command did not complete within a certain time period. (***: command code No.),Software operation error occurred,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SERVO
,,,4007,Execution of motion command did not complete within a certain time period. (***: command code No.),Software operation error occurred,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SERVO
,,,4008,Execution of motion command did not complete within a certain time period. (***: command code No.),Software operation error occurred,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SERVO
,,,4009,Execution of motion command did not complete within a certain time period. (***: command code No.),Software operation error occurred,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SERVO
,,,4010,Execution of motion command did not complete within a certain time period. (***: command code No.),Software operation error occurred,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SERVO
,,,4011,Execution of motion command did not complete within a certain time period. (***: command code No.),Software operation error occurred,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SERVO
,,,4012,Execution of motion command did not complete within a certain time period. (***: command code No.),Software operation error occurred,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SERVO
,,,4013,Execution of motion command did not complete within a certain time period. (***: command code No.),Software operation error occurred,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SERVO
,,,4014,Execution of motion command did not complete within a certain time period. (***: command code No.),Software operation error occurred,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SERVO
,,,4015,Execution of motion command did not complete within a certain time period. (***: command code No.),Software operation error occurred,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SERVO
,,,4016,Execution of motion command did not complete within a certain time period. (***: command code No.),Software operation error occurred,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SERVO
,,,4017,Execution of motion command did not complete within a certain time period. (***: command code No.),Software operation error occurred,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SERVO
,,,4018,Execution of motion command did not complete within a certain time period. (***: command code No.),Software operation error occurred,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SERVO
,,,4019,Execution of motion command did not complete within a certain time period. (***: command code No.),Software operation error occurred,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SERVO
,,,4020,Execution of motion command did not complete within a certain time period. (***: command code No.),Software operation error occurred,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SERVO
,,,4021,Execution of motion command did not complete within a certain time period. (***: command code No.),Software operation error occurred,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SERVO
,,,4022,Execution of motion command did not complete within a certain time period. (***: command code No.),Software operation error occurred,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SERVO
,,,4023,Execution of motion command did not complete within a certain time period. (***: command code No.),Software operation error occurred,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SERVO
,,,4024,Execution of motion command did not complete within a certain time period. (***: command code No.),Software operation error occurred,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SERVO
,,,4025,Execution of motion command did not complete within a certain time period. (***: command code No.),Software operation error occurred,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SERVO
,,,4026,Execution of motion command did not complete within a certain time period. (***: command code No.),Software operation error occurred,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SERVO
,,,4027,Execution of motion command did not complete within a certain time period. (***: command code No.),Software operation error occurred,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SERVO
,,,4028,Execution of motion command did not complete within a certain time period. (***: command code No.),Software operation error occurred,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SERVO
,,,4029,Execution of motion command did not complete within a certain time period. (***: command code No.),Software operation error occurred,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SERVO
,,,4030,Execution of motion command did not complete within a certain time period. (***: command code No.),Software operation error occurred,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SERVO
,,,4031,Execution of motion command did not complete within a certain time period. (***: command code No.),Software operation error occurred,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SERVO
,,,4032,Execution of motion command did not complete within a certain time period. (***: command code No.),Software operation error occurred,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SERVO
,,,4033,Execution of motion command did not complete within a certain time period. (***: command code No.),Software operation error occurred,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SERVO
,,,4034,Execution of motion command did not complete within a certain time period. (***: command code No.),Software operation error occurred,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SERVO
,,,4035,Execution of motion command did not complete within a certain time period. (***: command code No.),Software operation error occurred,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SERVO
,,,4036,Execution of motion command did not complete within a certain time period. (***: command code No.),Software operation error occurred,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SERVO
,,,4037,Execution of motion command did not complete within a certain time period. (***: command code No.),Software operation error occurred,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SERVO
,,,4038,Execution of motion command did not complete within a certain time period. (***: command code No.),Software operation error occurred,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SERVO
,,,4039,Execution of motion command did not complete within a certain time period. (***: command code No.),Software operation error occurred,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SERVO
,,,4040,Execution of motion command did not complete within a certain time period. (***: command code No.),Software operation error occurred,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SERVO
,,,4041,Execution of motion command did not complete within a certain time period. (***: command code No.),Software operation error occurred,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SERVO
,,,4042,Execution of motion command did not complete within a certain time period. (***: command code No.),Software operation error occurred,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SERVO
,,,4043,Execution of motion command did not complete within a certain time period. (***: command code No.),Software operation error occurred,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SERVO
,,,4044,Execution of motion command did not complete within a certain time period. (***: command code No.),Software operation error occurred,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SERVO
,,,4045,Execution of motion command did not complete within a certain time period. (***: command code No.),Software operation error occurred,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SERVO
,,,4046,Execution of motion command did not complete within a certain time period. (***: command code No.),Software operation error occurred,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SERVO
,,,4047,Execution of motion command did not complete within a certain time period. (***: command code No.),Software operation error occurred,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SERVO
,,,4048,Execution of motion command did not complete within a certain time period. (***: command code No.),Software operation error occurred,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SERVO
,,,4049,Execution of motion command did not complete within a certain time period. (***: command code No.),Software operation error occurred,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SERVO
,,,4050,Execution of motion command did not complete within a certain time period. (***: command code No.),Software operation error occurred,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SERVO
,,,4051,Execution of motion command did not complete within a certain time period. (***: command code No.),Software operation error occurred,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SERVO
,,,4052,Execution of motion command did not complete within a certain time period. (***: command code No.),Software operation error occurred,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SERVO
,,,4053,Execution of motion command did not complete within a certain time period. (***: command code No.),Software operation error occurred,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SERVO
,,,4054,Execution of motion command did not complete within a certain time period. (***: command code No.),Software operation error occurred,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SERVO
,,,4055,Execution of motion command did not complete within a certain time period. (***: command code No.),Software operation error occurred,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SERVO
,,,4056,Execution of motion command did not complete within a certain time period. (***: command code No.),Software operation error occurred,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SERVO
,,,4057,Execution of motion command did not complete within a certain time period. (***: command code No.),Software operation error occurred,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SERVO
,,,4058,Execution of motion command did not complete within a certain time period. (***: command code No.),Software operation error occurred,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SERVO
,,,4059,Execution of motion command did not complete within a certain time period. (***: command code No.),Software operation error occurred,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SERVO
,,,4060,Execution of motion command did not complete within a certain time period. (***: command code No.),Software operation error occurred,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SERVO
,,,4061,Execution of motion command did not complete within a certain time period. (***: command code No.),Software operation error occurred,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SERVO
,,,4062,Execution of motion command did not complete within a certain time period. (***: command code No.),Software operation error occurred,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SERVO
,,,4063,Execution of motion command did not complete within a certain time period. (***: command code No.),Software operation error occurred,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SERVO
,,,4064,Execution of motion command did not complete within a certain time period. (***: command code No.),Software operation error occurred,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SERVO
,,,4065,Execution of motion command did not complete within a certain time period. (***: command code No.),Software operation error occurred,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SERVO
,,,4066,Execution of motion command did not complete within a certain time period. (***: command code No.),Software operation error occurred,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SERVO
,,,4067,Execution of motion command did not complete within a certain time period. (***: command code No.),Software operation error occurred,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SERVO
,,,4068,Execution of motion command did not complete within a certain time period. (***: command code No.),Software operation error occurred,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SERVO
,,,4069,Execution of motion command did not complete within a certain time period. (***: command code No.),Software operation error occurred,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SERVO
,,,4070,Execution of motion command did not complete within a certain time period. (***: command code No.),Software operation error occurred,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SERVO
,,,4071,Execution of motion command did not complete within a certain time period. (***: command code No.),Software operation error occurred,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SERVO
,,,4072,Execution of motion command did not complete within a certain time period. (***: command code No.),Software operation error occurred,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SERVO
,,,4073,Execution of motion command did not complete within a certain time period. (***: command code No.),Software operation error occurred,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SERVO
,,,4074,Execution of motion command did not complete within a certain time period. (***: command code No.),Software operation error occurred,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SERVO
,,,4075,Execution of motion command did not complete within a certain time period. (***: command code No.),Software operation error occurred,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SERVO
,,,4076,Execution of motion command did not complete within a certain time period. (***: command code No.),Software operation error occurred,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SERVO
,,,4077,Execution of motion command did not complete within a certain time period. (***: command code No.),Software operation error occurred,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SERVO
,,,4078,Execution of motion command did not complete within a certain time period. (***: command code No.),Software operation error occurred,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SERVO
,,,4079,Execution of motion command did not complete within a certain time period. (***: command code No.),Software operation error occurred,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SERVO
,,,4080,Execution of motion command did not complete within a certain time period. (***: command code No.),Software operation error occurred,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SERVO
,,,4081,Execution of motion command did not complete within a certain time period. (***: command code No.),Software operation error occurred,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SERVO
,,,4082,Execution of motion command did not complete within a certain time period. (***: command code No.),Software operation error occurred,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SERVO
,,,4083,Execution of motion command did not complete within a certain time period. (***: command code No.),Software operation error occurred,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SERVO
,,,4084,Execution of motion command did not complete within a certain time period. (***: command code No.),Software operation error occurred,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SERVO
,,,4085,Execution of motion command did not complete within a certain time period. (***: command code No.),Software operation error occurred,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SERVO
,,,4086,Execution of motion command did not complete within a certain time period. (***: command code No.),Software operation error occurred,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SERVO
,,,4087,Execution of motion command did not complete within a certain time period. (***: command code No.),Software operation error occurred,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SERVO
,,,4088,Execution of motion command did not complete within a certain time period. (***: command code No.),Software operation error occurred,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SERVO
,,,4089,Execution of motion command did not complete within a certain time period. (***: command code No.),Software operation error occurred,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SERVO
,,,4090,Execution of motion command did not complete within a certain time period. (***: command code No.),Software operation error occurred,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SERVO
,,,4091,Execution of motion command did not complete within a certain time period. (***: command code No.),Software operation error occurred,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SERVO
,,,4092,Execution of motion command did not complete within a certain time period. (***: command code No.),Software operation error occurred,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SERVO
,,,4093,Execution of motion command did not complete within a certain time period. (***: command code No.),Software operation error occurred,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SERVO
,,,4094,Execution of motion command did not complete within a certain time period. (***: command code No.),Software operation error occurred,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SERVO
,,,4095,Execution of motion command did not complete within a certain time period. (***: command code No.),Software operation error occurred,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SERVO
,,,4096,Execution of motion command did not complete within a certain time period. (***: command code No.),Software operation error occurred,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SERVO
,,,4097,Execution of motion command did not complete within a certain time period. (***: command code No.),Software operation error occurred,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SERVO
,,,4098,Execution of motion command did not complete within a certain time period. (***: command code No.),Software operation error occurred,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SERVO
,,,4099,Execution of motion command did not complete within a certain time period. (***: command code No.),Software operation error occurred,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SERVO
,,,4100,Execution of motion command did not complete within a certain time period. (***: command code No.),Software operation error occurred,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SERVO
,,,4101,Execution of motion command did not complete within a certain time period. (***: command code No.),Software operation error occurred,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SERVO
,,,4102,Execution of motion command did not complete within a certain time period. (***: command code No.),Software operation error occurred,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SERVO
,,,4103,Execution of motion command did not complete within a certain time period. (***: command code No.),Software operation error occurred,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SERVO
,,,4104,Execution of motion command did not complete within a certain time period. (***: command code No.),Software operation error occurred,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SERVO
,,,4105,Execution of motion command did not complete within a certain time period. (***: command code No.),Software operation error occurred,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SERVO
,,,4106,Execution of motion command did not complete within a certain time period. (***: command code No.),Software operation error occurred,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SERVO
,,,4107,Execution of motion command did not complete within a certain time period. (***: command code No.),Software operation error occurred,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,SERVO
