NX100,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Alarm number,Alarm Name,Contents,Sub Code,Meaning,Cause,Remedy,1,2,3,Notes
4017,MEMORY ERROR (POWER SRC USER DEF),,,,"An error was detected at memory check.
The memory for the Power Source characteristics user definition file is damaged.","Initialize the Power Source characteristics user definition file in the maintenance mode, and then load the Power Source characteristics user definition file saved in the external memory device.",,,,
4018,MEMORY ERROR (LADDER PRG FILE),,,,"An error was detected at memory check.
The memory for the ladder program file is damaged.","Initialize the ladder program file in the maintenance mode, and then load the ladder program file saved in the external memory device.",,,,
4019,MEMORY ERROR (CUTTING COND FILE),,,,"An error was detected at memory check.
The memory for the user coordinates file is damaged.","Initialize the user coordinates file in the maintenance mode, and then load the user coordinates file saved in the external memory device.",,,,
4020,MEMORY ERROR (WORK HOME POS FILE),,,,"An error was detected at memory check.
The memory for the work home position file is damaged.",Initialize the work home position file.,,,,
4021,MEMORY ERROR (CONVEYOR COND FILE),,,,"An error was detected at memory check.
The memory for the conveyor condition file is damaged.","Initialize the conveyor condition file in the maintenance mode, and then load the conveyor condition file saved in the external memory device.",,,,
4025,MEMORY ERROR (INTERRUPT JOB FILE),,,,"An error was detected at memory check.
The memory for the interrupt job file is damaged.","Initialize the interrupt job file in the maintenance mode, and then load the interrupt job file saved in the external memory device.",,,,
4028,MEMORY ERROR (SENSOR MON COND FILE),,,,"An error was detected at memory check.
The memory for the sensor monitoring condition file is damaged.","Initialize the sensor monitoring condition file in the maintenance mode, and then load the sensor monitoring condition file saved in the external memory device.",,,,
4031,MEMORY ERROR (GUN COND FILE),,,,"An error was detected at memory check.
The memory for the spot welding gun condition file is damaged.","Initialize the spot welding gun condition file in the maintenance mode, and then load the spot welding gun condition file saved in the external memory device.",,,,
4032,MEMORY ERROR (SPOT WELD COND),,,,"An error was detected at memory check.
The memory for the spot welding Power Source condition file is damaged.","Initialize the spot welding SPOT WELD condition file in the maintenance mode, and then load the spot welding Power Source condition file saved in the external memory device.",,,,
4033,MEMORY ERROR (GUN PRESSURE FILE),,,,"An error was detected at memory check.
The memory for the gun pressure file is damaged.","Initialize the gun pressure file in the maintenance mode, and then load the gun pressure file saved in the external memory device.",,,,
4034,MEMORY ERROR (ANTICIPATION OT FILE),,,,"An error was detected at memory check.
The memory for the anticipation outputs (OT) file is damaged.","Initialize the anticipation outputs file in the maintenance mode, and then load the anticipation outputs file saved in the external memory device.",,,,
4035,MEMORY ERROR (ANTICIPATION OG FILE),,,,"An error was detected at memory check.
The memory for the anticipation outputs (OG) file is damaged.","Initialize the anticipation outputs file in the maintenance mode, and then load the anticipation outputs file saved in the external memory device.",,,,
4036,MEMORY ERROR (WEARING FILE),,,,"An error was detected at memory check.
The memory for the wear amount file is damaged.","Initialize the wear amount file in the maintenance mode, and then load the wear amount file saved in the external memory device.",,,,
4037,MEMORY ERROR (STROKE POSITION),,,,"An error was detected at memory check.
The memory for the FULL/SHORT OPEN position setting file is damaged.","Initialize the FULL/SHORT OPEN position setting file in the maintenance mode, and then load the FULL/SHORT OPEN position setting file saved in the external memory device.",,,,
4038,MEMORY ERROR (PRESSURE FILE),,,,"An error was detected at memory check.
The memory for the dry-spotting pressure file is damaged.","Initialize the dry-spotting pressure file in the maintenance mode, and then load the dry- spotting pressure file saved in the external memory device.",,,,
4039,MEMORY ERROR (FORM CUT FILE),,,,"An error was detected at memory check.
The memory for the form cut file is damaged.","Initialize the form cut file in the maintenance mode, and then load the form cut file saved in the external memory device.",,,,
4040,MEMORY ERROR (SHOCK LEVEL FILE),,,,"An error was detected at memory check.
The memory for the shock level file is damaged.","Initialize the shock level file in the maintenance mode, and then load the shock level file saved in the external memory device.",,,,
4041,MEMORY ERROR  (SPOT IO ALLOCATE FL),,,,"An error was detected at memory check.
The memory for the spot I/O allocation file is damaged.","Initialize the spot I/O allocation file in the maintenance mode, and then load the spot I/O allocation file saved in the external memory device.",,,,
4042,MEMORY ERROR (VISION FILE),,,,"An error was detected at memory check.
The memory for the vision condition file is damaged.","Initialize the vision condition file in the maintenance mode, and then load the vision condition file saved in the external memory device.",,,,
4043,MEMORY ERROR (VISION CALIBRATION),,,,"An error was detected at memory check.
The memory for the vision calibration file is damaged.","Initialize the vision calibration file in the maintenance mode, and then load the vision calibration file saved in the external memory device.",,,,
4044,MEMORY ERROR (WELDING PULSE COND FILE),,,,"An error was detected at memory check.
The memory for the welding pulse condition file is damaged.","Initialize the welding pulse condition file in the maintenance mode, and then load the welding pulse condition file saved in the external memory device.",,,,
4045,MEMORY ERROR (WELDING PULSE SELECTION FILE),,,,"An error was detected at memory check.
The memory for the welding pulse selection file is damaged.","Initialize the welding pulse selection file in the maintenance mode, and then load the welding pulse selection file saved in the external memory device.",,,,
4046,MEMORY ERROR (CONVEYOR CALIBRATION),,,,"An error was detected at memory check.
The memory for the conveyor calibration file is damaged.","Initialize the conveyor calibration file in the maintenance mode, and then load the conveyor calibration file saved in the external memory device.",,,,
4047,MEMORY ERROR (MACRO DEFINITION FILE),,,,"An error was detected at memory check.
The memory for the macro definition file is damaged.","Initialize the macro definition file in the maintenance mode, and then load the macro definition file saved in the external memory device.",,,,
4048,MEMORY ERROR (SERVO S-GUN FILE),,,,"An error was detected at memory check.
The memory for the sealer gun characteristics file is damaged.","Initialize the sealer gun characteristics file in the maintenance mode, and then load the sealer gun characteristics file saved in the external memory device.",,,,
4049,MEMORY ERROR (PASTE QUAN COMPENSATIO N FILE),,,,"An error was detected at memory check.
The memory for the painting amount correction file is damaged.","Initialize the painting amount correction file in the maintenance mode, and then load the painting amount correction file saved in the external memory device.",,,,
4050,MEMORY ERROR (AXIS I/O ALLOCATION FILE),,,,"An error was detected at memory check.
The memory for the axis motion I/ O allocation file is damaged.","Initialize the axis motion I/O allocation file in the maintenance mode, and then load the axis motion I/O allocation file saved in the external memory device.",,,,
4051,MEMORY ERROR (GUN COND AUX FILE),,,,"An error was detected at memory check.
The memory for the gun characteristics auxiliary file is damaged.","Initialize the gun characteristics auxiliary file in the maintenance mode, and then load the gun characteristics auxiliary file saved in the external memory device.",,,,
4052,"MEMORY ERROR (TOOL
INTERFERENCE FILE)",,,,"An error was detected at memory check.
The memory for the tool interference file is damaged.","Initialize the tool interference file in the maintenance mode, and then load the tool interference file saved in the external memory device.",,,,
4053,MEMORY ERROR (PAINTING SYSTEM CONFIGURATIO N),,,,"An error was detected at memory check.
The memory for the painting system setting file is damaged.","Initialize the painting system setting file in the maintenance mode, and then load the painting system setting file saved in the external memory device.",,,,
4054,MEMORY ERROR (PAINTING SPECIAL),,,,"An error was detected at memory check.
The memory for the painting device characteristics file is damaged.","Initialize the painting device characteristics file in the maintenance mode, and then load the painting device characteristics file saved in the external memory device.",,,,
4055,MEMORY ERROR (CCV-PAINT TABLE),,,,"An error was detected at memory check.
The memory for the painting CCV file is damaged.","Initialize the painting CCV file in the maintenance mode, and then load the painting CCV file saved in the external memory device.",,,,
4056,"MEMORY ERROR
(PLUG VOLUME FILE)",,,,"An error was detected at memory check.
The memory for the paint filling file is damaged.","Initialize the paint filling file in the maintenance mode, and then load the paint filling file saved in the external memory device.",,,,
4057,MEMORY ERROR (EVB GUN COND),,,,"An error was detected at memory check.
The memory for the EVB gun file is damaged.","Initialize the EVB gun file in the maintenance mode, and then load the EVB gun file saved in the external memory device.",,,,
4058,"MEMORY ERROR
(EVB TURBINE COND)",,,,"An error was detected at memory check.
The memory for the EVB turbine file is damaged.","Initialize the EVB turbine file in the maintenance mode, and then load the EVB turbine file saved in the external memory device.",,,,
4059,MEMORY ERROR (EVB PAINT COND),,,,"An error was detected at memory check.
The memory for the EVB paint file is damaged.","Initialize the EVB paint file in the maintenance mode, and then load the EVB paint file saved in the external memory device.",,,,
4060,MEMORY ERROR (CLEARANCE FILE),,,,"An error was detected at memory check.
The memory for the clearance file is damaged.","Initialize the clearance file in the maintenance mode, and then load the clearance file saved in the external memory device.",,,,
4061,MEMORY ERROR (GAGING SENSOR FILE),,,,"An error was detected at memory check.
The memory for the gaging sensor file is damaged.","Initialize the gaging sensor file in the maintenance mode, and then load the gaging sensor file saved in the external memory device.",,,,
4062,MEMORY ERROR (LINEAR SCALE FILE),,,,"An error was detected at memory check.
The memory for the linear scale condition file is damaged.","Initialize the linear scale condition file in the maintenance mode, and then load the linear scale condition file saved in the external memory device.",,,,
4063,MEMORY ERROR (CONVEYOR COND SUPP.),,,,"An error was detected at memory check.
The memory for the conveyor condition auxiliary file is damaged.","Initialize the conveyor condition auxiliary file in the maintenance mode, and then load the conveyor condition auxiliary file saved in the external memory device.",,,,
4064,MEMORY ERROR (WEAVING SYNCHRONIZIN G WELD FILE),,,,"An error was detected at memory check.
The memory for the weaving synchronizing welding condition file is damaged.","Initialize the weaving synchronizing welding condition file in the maintenance mode, and then load the weaving synchronizing welding condition file saved in the external memory device.",,,,
4065,"MEMORY ERROR
(I/F PANEL FILE)",,,,"An error was detected at memory check.
The memory for the I/F panel file is damaged.","Initialize the I/F panel file in the maintenance mode, and then load the I/F panel file saved in the external memory device.",,,,
4069,MEMORY ERROR (PALLETIZING COND FILE),,,,"An error was detected at memory check.
The memory for the palletizing condition file is damaged.","Initialize the palletizing condition file in the maintenance mode, and then load the palletizing condition file saved in the external memory device.",,,,
4100,OVERRUN (ROBOT AXIS),,,,One of the robot overrun limit switches activated.,Move back the robot out of the overrun limit switch range. (Refer to the INSTRUCTIONS.),,,,
4101,OVERRUN (EXTERNAL AXIS),,,,One of the external-axis overrun limit switches activated.,Move back the external axis out of the overrun limit switch range. (Refer to the INSTRUCTIONS.),,,,
4102,SYSTEM DATA HAS BEEN CHANGED,,1,,"The system parameters are modified.
An attempt was made to turn ON the servo power supply after having modified the system parameters.
The data indicates the cause of alarm.
1: System parameter modified",Turn the power OFF then back ON.,,,,
4103,PARALLEL START INSTRUCTION ERROR,,,,An error occurred in the independent control startup operation.,,,,,
,,,1,,"Sub task being executed: Although a job is being executed by instructed sub task, an attempt was made to execute another job by the sub task.",Complete the sub task by PWAIT command.,,,,
,,,2,,"Group axis being used:
The job operated by another sub task uses the same group axis.",Check the job to be started and the execution timing for start command again.,,,,
,,,3,,"Multiple start of same job:
The job that was tried to be started was executed by another sub task.",,,,,
,,,4,,"Unregistered master job: Although the master job was not registered, an attempt was made to execute PSTART SUB (job name omitted).",Register the master job for sub task.,,,,
,,,5,,"Synchronization instruction error: When restarted by PSTART, synchronization instruction status of the sub task under interruption was different from the status to restart.",Check the job to be started and the execution timing for start command again.,,,,
,,,6,,"Stopped by an alarm:
An attempt was made to start the sub task which is stopped by an alarm.","Reset the alarm, and then start the sub task.",,,,
4104,WRONG EXECUTION OF LOAD INST,,,,"An error occurred when an instruction was executed by the data transmission DCI function. The data indicates the cause of alarm.
(Refer to the manual for Data Transmission Function for details.)","Reset the alarm, and then remove the cause according to the alarm data.",,,,
4105,WRONG EXECUTION OF SAVE INST,,,,"An error occurred when an instruction was executed by the data transmission DCI function. The data indicates the cause of alarm.
(Refer to the manual for Data Transmission Function for details.)","Reset the alarm, and then remove the cause according to the alarm data.",,,,
4106,WRONG EXECUTION OF DELETE INST,,,,"An error occurred when an instruction was executed by the data transmission DCI function. The data indicates the cause of alarm.
(Refer to the manual for Data Transmission Function for details.)","Reset the alarm, and then remove the cause according to the alarm data.",,,,
4107,OUT OF RANGE (ABSO DATA),,,,The position difference between when the power was turned OFF and when the power was turned ON again exceeded the tolerance for the robot or a station.,"Move the robot or station to the zero position by the axis operation and check the home position alignment marks (the arrow). If the zero position does not match the home position, check if there is no error in the PG system of the axis for which the alarm occurred.",,,,
4109,DC24V POWER SUPPLY FAILURE (I/O),,"0000_
00??",,"The external 24V power for I/Os is not output.
0000_0001: Fuse blown (NIF01 unit)
0000_0011: External 24 V power supply error","Check if the fuse of robot I/F unit (NIF) is not blown.
Check the 24V external power supply. Check the communications cable for the I/O module
If the error occurs again, contact your Yaskawa representative.",,,,
4110,SHOCK SENSOR ACTIVATION,,,,The shock sensor activated.,Remove the cause of shock sensor activation.,,,,
4111,BRAKE FUSE BREAKDOWN,,,,The brake fuse blew out.,Replace the fuse.,,,,
4112,DATA SENDING ERROR,,,,An error occurred during data transmission.,,,,,
,,,1,,Retry over of NAK,"Reset the alarm, and then remove the cause.",,,,
,,,2,,Retry over for timeout in timer A,,,,,
,,,3,,Retry over for mutual response error,,,,,
4113,DATA RECEIVING ERROR,,,,An error occurred during data transmission.,,,,,
,,,1,,Reception timeout (timer A),"Reset the alarm, and then remove the cause.",,,,
,,,2,,Reception timeout (timer B),,,,,
,,,3,,Heading length is too short.,,,,,
,,,4,,Heading length is too long.,,,,,
,,,5,,The header No. error,,,,,
,,,6,,The text length exceeded 256 characters.,,,,,
4114,TRANSMISSION HARDWARE ERROR,,,,An error occurred during data transmission.,,,,,
,,,1,,Overrun error,"Reset the alarm, and then remove the cause.",,,,
,,,2,,Parity error,,,,,
,,,3,,Framing error,,,,,
,,,4,,Transmission timeout (timer A),,,,,
,,,5,,Transmission timeout (timer B),,,,,
4115,TRANSMISSION SYSTEM BLOCK,,,,"An error occurred during data transmission. (This alarm occurs when received data cause inconsistency on the system although the transmission protocol is correct.  Mainly, this alarm occurs due to an illegal transmission or erroneous report at the data sending side.)",,,,,
,,,1,,Received EOT while waiting ACK.,"Reset the alarm, and then remove the cause.",,,,
,,,2,,Received EOT while waiting ENQ.,,,,,
,,,3,,Received EOT before last block reception.,,,,,
,,,4,,Received codes other than EOT after last block reception.,,,,,
4116,TRANSMISSION SYSTEM ERROR,,,,An error occurred during data transmission.,"If the error occurs again, contact your Yaskawa representative.",,,,
4117,BRAKE POWER ERROR,,,,The power for brake is not output. An error occurred due to ground fault or short circuit of the brake wiring.  Or the fuse of optional unit (NBP??) or brake release unit (NBU??) is blown.,"Verify the brake wiring.  If the fuse is blown, check the wiring, then replace the fuse.
If the error occurs again, contact your Yaskawa representative.",,,,
4118,TRIPPED CIRCUIT PROTECTOR OF IN-PANEL FAN,,XY,,"The circuit protector of the in-panel cooling fan is tripped due to ground fault or short circuit or the in-panel cooling fan, or defective fan.
Note: This alarm is displayed approximately one minute after the detection.
X???Servo board
1: Servo board1 (SV#1) 2: Servo board2 (SV#2) 3: Servo board3 (SV#3) 4: Servo board4 (SV#4) Y???Power-ON unit
1: Power-ON unit1 (TU#1) 2: Power-ON unit2 (TU#2) 3: Power-ON unit3 (TU#3) 4: Power-ON unit4 (TU#4) 5: Power-ON unit5 (TU#5) 6: Power-ON unit6 (TU#6)","Verify the wiring of in-panel cooling fan. If there is no defect in the wiring, replace the cooling fan since the fan may be defective.",,,,
4119,FAN ERROR (IN CONTROL BOX),,X,,"The rotation speed of in-panel cooling fan decreased.
X???CPS unit number
1: CPS unit 1(Detected with SV#1) 2: CPS unit 2(Detected with SV#2) 3: CPS unit 3(Detected with SV#3) 4: CPS unit 4(Detected with SV#4)","Reset the alarm, and then move the robot to the safe position in the teach mode.
Check if in-panel cooling fan is rotating. If the fan is not working, verify its wiring. Should the error persist, replace the in- panel cooling fan (CPS power unit).",,,,
4121,COOLING FAN 1 ERROR,,XY,,"The rotation speed of the cooling fan 1 with alarm sensor connected to the contactor unit decreased. X???Servo board
1: Servo board1 (SV#1) 2: Servo board2 (SV#2) 3: Servo board3 (SV#3) 4: Servo board4 (SV#4) Y???Power-ON unit
1: Power-ON unit1 (TU#1) 2: Power-ON unit2 (TU#2) 3: Power-ON unit3 (TU#3) 4: Power-ON unit4 (TU#4) 5: Power-ON unit5 (TU#5) 6: Power-ON unit6 (TU#6)","Reset the alarm, and then move the robot to the safe position in the teach mode.
The cooling fan 1 needs to be replaced. Contact your Yaskawa representative.",,,,
4122,COOLING FAN 2 ERROR,,XY,,"The rotation speed of the cooling fan 2 with alarm sensor connected to the contactor unit decreased. X???Servo board
1: Servo board1 (SV#1) 2: Servo board2 (SV#2) 3: Servo board3 (SV#3) 4: Servo board4 (SV#4) Y???Power-ON unit
1: Power-ON unit1 (TU#1) 2: Power-ON unit2 (TU#2) 3: Power-ON unit3 (TU#3) 4: Power-ON unit4 (TU#4) 5: Power-ON unit5 (TU#5) 6: Power-ON unit6 (TU#6)","Reset the alarm, and then move the robot to the safe position in the teach mode.
The cooling fan 2 needs to be replaced. Contact your Yaskawa representative.",,,,
4123,COOLING FAN 3 ERROR,,XY,,"The rotation speed of the cooling fan 3 with alarm sensor connected to the contactor unit decreased. X???Servo board
1: Servo board1 (SV#1) 2: Servo board2 (SV#2) 3: Servo board3 (SV#3) 4: Servo board4 (SV#4) Y???Power-ON unit
1: Power-ON unit1 (TU#1) 2: Power-ON unit2 (TU#2) 3: Power-ON unit3 (TU#3) 4: Power-ON unit4 (TU#4) 5: Power-ON unit5 (TU#5) 6: Power-ON unit6 (TU#6)","Reset the alarm, and then move the robot to the safe position in the teach mode.
The cooling fan 3 needs to be replaced. Contact your Yaskawa representative.",,,,
4130,NETWORK APPLICATION ERROR,,1,,An error occurred when the notification of the APP task re- initialization was processed in the Ethernet function.,"Rotate the mode selector switch on the programming pendant to release the mode setting which has been set to ""REMOTE"", then rotate the switch again to set back to ""REMOTE"".
If the error occurs again after releasing the mode setting of the switch and setting back to ""REMOTE"", turn the power OFF then back ON.
If the error occurs again, contact your Yaskawa representative.",,,,
,,,2,,An error occurred when the re- initialization response was received in the Ethernet function.,,,,,
,,,3,,The incomplete task of re- initialization was unsuccessfully completed in the Ethernet function.,,,,,
,,,4,,An error occurred when the semaphore for re-initialization was received in the Ethernet function.,,,,,
,,,5,,An error occurred when the re- initialization mail was sent in the Ethernet function.,,,,,
,,,6,,An error occurred in the exclusive process of the storage area control table of the Ethernet function.,,,,,
,,,50,,An error occurred in the data size written to PCI of the Ethernet funciton.,,,,,
,,,51,,An error occurred when the request to write PCI data was received in the Ethernet function.,,,,,
,,,52,,The request of the undefined transmission was received in the Ethernet function.,,,,,
,,,53,,An error occurred in the transmission request of the Ethernet function.,,,,,
,,,54,,The transmission request without data was received in the Ethernet function.,,,,,
,,,55,,The transmission request of illegal data length was received in the Ethernet function.,,,,,
4131,UDP COMMUNICATIO N ERROR,,1,,An error occurred in the creation of receiving socket during the UDP process of the Ethernet function.,"Rotate the mode selector switch on the programming pendant to release the mode setting which has been set to ""REMOTE"", then rotate the switch again to set back to ""REMOTE"".
If the error occurs again after releasing the mode setting of the switch and setting back to ""REMOTE"", turn the power OFF then back ON.
If the error occurs again, contact your Yaskawa representative.",,,,
,,,2,,An error occurred in the creation of transmission socket during the UDP process of the Ethernet function.,,,,,
,,,3,,Illegal data were received in the UDP process of the Ethernet function.,,,,,
,,,4,,Transmission error occurred in the UDP process of the Ethernet function.,,,,,
,,,5,,The SELECT operation was not successfully completed in the UDP process of the Ethernet function.,,,,,
,,,100,,The re-initialization notification of illegal data length was received in the UDP process of the Ethernet function.,,,,,
4131,UDP COMMUNICATIO N ERROR,,101,,The re-initialization notification of illegal data was received in the UDP process of the Ethernet function.,"Rotate the mode selector switch on the programming pendant to release the mode setting which has been set to ""REMOTE"", then rotate the switch again to set back to ""REMOTE"".
If the error occurs again after releasing the mode setting of the switch and setting back to ""REMOTE"", turn the power OFF then back ON.
If the error occurs again, contact your Yaskawa representative.",,,,
,,,102,,The PCI write process was not successfully completed in the UDP process of the Ethernet function.,,,,,
,,,103,,The transmission request of illegal data length was received in the UDP process of the Ethernet function.,,,,,
,,,104,,The transmission request of illegal data was received in the UDP process of the Ethernet function.,,,,,
4132,TCP COMMUNICATIO N ERROR,,1,,The socket table was not successfully created in the TCP process of the Ethernet function.,"Rotate the mode selector switch on the programming pendant to release the mode setting which has been set to ""REMOTE"", then rotate the switch again to set back to ""REMOTE"".
If the error occurs again after releasing the mode setting of the switch and setting back to ""REMOTE"", turn the power OFF then back ON.
If the error occurs again, contact your Yaskawa representative.",,,,
,,,2,,An error occurred in the process of the TCP server initialization of the Ethernet function.,,,,,
4135,TOYOPUC RUN STOP,,0,,TOYOPUC is in stopped state.,"Use the PCwin, etc. to run the TOYOPUC, then reset the alarm for the NX100, or turn ON the power supply again.",,,,
4136,TOYOPUC MAJOR ERROR,,0,,"The PCI bus state of the TOYOPUC turns to ""ER"".
An error occurred in the processing on the TOYOPUC side.","Turn ON the power supply again.
Verify the TOYOPUC LED status and take appropriate measures by referring to the TOYOPUC instruction manual.",,,,
,,,1,,"INTRB time-out error
An error occurred in the PCI bus communication processing of the TOYOPUC.",Turn ON the power supply again. Contact the manufacturer.,,,,
4136,TOYOPUC MAJOR ERROR,,2,,"The INTPC does not turn to ""1"" five seconds after the PCI command is issued.
An error occurred in the PCI bus communication processing of the TOYOPUC.",Turn ON the power supply again. Contact the manufacturer.,,,,
,,,3,,"Error in the state of interrupt register1
An error occurred in the PCI bus communication processing of the TOYOPUC",,,,,
4137,SETUALM ERROR,,1,,"An error occurred at SETUALM instruction execution.
Alarm code specification error",Specify the alarm in the range 8000 to 8999.,,,,
,,,2,,"An error occurred at SETUALM instruction execution.
Task specification error",Specify the task in the range 0 to 4 (7 at expansion).,,,,
,,,3,,"An error occurred at SETUALM instruction execution.
Motion mode specification error",Set the motion mode to 0 or 1.,,,,
4138,SVON ERROR,,,,"An error occurred at SVON instruction execution.
SVON is disabled.","Verify that the external servo ON (EXSVON) is short-circuited.
Verify that the concurrent I/O signal #80031 (servo ON condition1) and #80033 (servo ON condition2) are turned ON.",,,,
4139,PRINT ERROR,,,,"An error occurred at PRINT instruction execution.
PRINT output conversion spec (character string specification) error",Review the PRINT output conversion spec (character string specification).,,,,
4140,DIALOG ERROR,,,,An error occurred at execution of the DIALOG instruction.,,,,,
,,,1,,DIALOG instruction control error,"Reset the alarm, and then try again. Turn the power OFF and back ON.",,,,
,,,2,,Messages and buttons are not registere.,Review DIALOG instruction.,,,,
,,,3,,Buttons are not registered.,,,,,
,,,4,,The length of character string was exceeded.,,,,,
4141,SNTP ERROR,,1,,The error on setting of time difference value occurred in the SNTP process of the Ethernet function.,"Turn the power OFF and back ON.
If the error occurs again, contact your Yaskawa representative.",,,,
,,,2,,The error on setting of time-out value occurred in the SNTP process of the Ethernet function.,,,,,
,,,3,,The error on setting of reference interval value occurred in the SNTP process of the Ethernet function.,,,,,
,,,4,,The IP address error occurred in the SNTP process of the Ethernet function.,"Correctly set the IP address of the SNTP server.
If the DHCP is used, verify the DHCP server operation and the network status.",,,,
,,,5,,Time-out occurred in the SNTP process of the Ethernet function.,Verify the SNTP server operation and the network status.,,,,
,,,6,,The server time is not synchronized in the SNTP process of the Ethernet function.,Verify the SNTP server operation.,,,,
4141,SNTP ERROR,,7,,The SNTP process of the Ethernet function is not compliant with the version that the server sent.,Use the server compliant with the SNTP version 3.,,,,
,,,8,,Illegal parameters were found in the SNTP process of the Ethernet function.,"Verify the SNTP related settings.
If the error occurs again, contact your Yaskawa representative.",,,,
,,,9,,The SNTP process of the Ethernet function was not successfully completed.,,,,,
4200,SYSTEM ERROR (FILE DATA),,,,An error occurred during the access to file data (during file edition or external memory device operation).,"Reset the alarm, and then try again. Turn the power OFF then back ON.
If the error occurs again, contact your Yaskawa representative.",,,,
4201,SYSTEM ERROR (JOB),,,,An error occurred when accessing to job data.,,,,,
,,,-1,,An error occurred in parameter specification.,"Reset the alarm, and then try again. Turn the power OFF then back ON.
If the error occurs again, contact your Yaskawa representative.",,,,
,,,-2,,Access time exceeded the limit.,,,,,
,,,-3,,The access to a job could not be performed with the specified job name.,,,,,
,,,-4,,The character not allowed was used as a job name.,,,,,
,,,-5,,A job was newly created with the same name of the job already specified in the memory.,,,,,
,,,-6,,The allowable job registration area (memory) was exceeded.,Delete unused jobs and/or expand CMOS.,,,,
,,,-7,,A job that did not exist in the memory was specified.,"Reset the alarm, and then try again. Turn the power OFF then back ON.
If the error occurs again, contact your Yaskawa representative.",,,,
,,,-8,,An attempt was made to change the contents for the job prohibited from being edited.,Release the prohibition and change it.,,,,
,,,-9,,An error occurred in handle value.,"Reset the alarm, and then try again. Turn the power OFF then back ON.
If the error occurs again, contact your Yaskawa representative.",,,,
,,,-10,,An error occurred in job data control system.,,,,,
,,,-11,,An error occurred in sequence number of the accessed job.,,,,,
,,,-12,,An error occurred in step number of the accessed job.,,,,,
,,,-13,,A job specified at job search did not exist in the memory.,,,,,
,,,-14,,There was an instruction that did not exist in a job because of inconsistency of the system software.,Check the NCP01 and NCP02 software versions before/after updating.,,,,
,,,-16,,Unused handles were lacking when an attempt was made to open a job.,"Reset the alarm, and then try again. Turn the power OFF then back ON.
If the error occurs again, contact your Yaskawa representative.",,,,
,,,-18,,The number of instructions added to a job exceeded 9999.,Delete unnecessary instructions and add new instructions.,,,,
,,,-19,,The number of steps added to a job exceeded 9999.,Delete unnecessary steps and add new steps.,,,,
4201,SYSTEM ERROR (JOB),,,,An error occurred when accessing to job data.,,,,,
,,,-20,,A job was newly created with the same name of the undefined job already specified in the memory.,"Reset the alarm, and then try again. Turn the power OFF then back ON.
If the error occurs again, contact your Yaskawa representative.",,,,
,,,-99,,A job data in the memory was destroyed.,,,,,
4202,SYSTEM ERROR (JOB),,,,An error occurred when accessing to job data.,,,,,
,,,1,,An error occurred in parameter specification.,"Reset the alarm, and then try again. Turn the power OFF then back ON.
If the error occurs again, contact your Yaskawa representative.",,,,
,,,2,,Access time exceeded the limit.,,,,,
,,,3,,The access to a job could not be performed with the specified job name.,,,,,
,,,4,,The character not allowed was used as a job name.,,,,,
,,,5,,A job was newly created with the same name of the job already specified in the memory.,,,,,
,,,6,,The allowable job registration area (memory) was exceeded.,Delete unused jobs and/or expand CMOS.,,,,
,,,7,,A job that did not exist in the memory was specified.,"Reset the alarm, and then try again. Turn the power OFF then back ON.
If the error occurs again, contact your Yaskawa representative.",,,,
,,,8,,An attempt was made to change the contents for the job prohibited from being edited.,Release the prohibition and change it.,,,,
,,,9,,An error occurred in handle value.,"Reset the alarm, and then try again. Turn the power OFF then back ON.
If the error occurs again, contact your Yaskawa representative.",,,,
,,,10,,An error occurred in job data control system.,,,,,
,,,11,,An error occurred in sequence number of the accessed job.,,,,,
,,,12,,An error occurred in step number of the accessed job.,,,,,
,,,13,,A job specified at job search did not exist in the memory.,,,,,
,,,14,,There was an instruction that did not exist in a job because of inconsistency of the system software.,Check the NCP01 and NCP02 software versions before/after updating.,,,,
,,,16,,Unused handles were lacking when an attempt was made to open a job.,"Reset the alarm, and then try again. Turn the power OFF then back ON.
If the error occurs again, contact your Yaskawa representative.",,,,
,,,18,,The number of instructions added to a job exceeded 9999.,Delete unnecessary instructions and add new instructions.,,,,
,,,19,,The number of steps added to a job exceeded 9999.,Delete unnecessary steps and add new steps.,,,,
,,,20,,A job was newly created with the same name of the undefined job already specified in the memory.,"Reset the alarm, and then try again. Turn the power OFF then back ON.
If the error occurs again, contact your Yaskawa representative.",,,,
,,,99,,A job data in the memory was destroyed.,,,,,
4203,SYSTEM ERROR (POSITION DATA),,,,An error occurred in position data control process.,,,,,
,,,-1,,The memory area for position data is lacking at the initialization of the position data control process.,Initialize the job in the maintenance mode.,,,,
,,,-2,,The number of axes for all the control groups is zero at the initialization of the position data control process,,,,,
,,,-3,,The number of axes for position data is zero.,"When the data is loaded from the external memory, the control axis for external memory is different from that for system. Initialize the job.
When a point is added, the job is not initialized after the control axis for system was changed to a different control group by system configuration.  Initialize the job.",,,,
,,,-4,,The number of stored position data exceeded the maximum stored data at the initialization of the position data control process.,Initialize the job in the maintenance mode.,,,,
,,,-5,,The memory size of the position data exceeded the maximum memory size at the initialization of the position data control process.,,,,,
,,,-6,,Unused position data file is destroyed.,,,,,
,,,-7,,Unused position data file does not exist.,Delete unnecessary steps (position data) and add position data.,,,,
,,,-8,,Position data file is destroyed.,Initialize the job in the maintenance mode.,,,,
,,,-9,,Position data control information is destroyed.,,,,,
